date,sentiment,daily_pnl,daily_volume,n_trades
2025-01-15,Greed,14819.5883,1801599.8900000001,267
2025-01-16,Extreme Greed,20807.709328,3049692.96,371
2025-01-17,Extreme Greed,7006.415608,1110230.46,238
2025-01-18,Extreme Greed,443.2330819999997,2711629.88,651
2025-01-19,Extreme Greed,87923.799302,9715215.3,1567
2025-01-20,Extreme Greed,87277.239173,8287327.01,1315
2025-01-21,Extreme Greed,11077.839421,1523729.82,530
2025-01-22,Extreme Greed,20524.408057,1778406.43,832
2025-01-23,Extreme Greed,101256.24216,3697028.66,1218
2025-01-24,Extreme Greed,10602.779738,1611433.45,874
2025-01-25,Extreme Greed,-10348.016255999999,1239377.7,506
2025-01-26,Greed,40823.466668,1201173.66,451
2025-01-27,Greed,41331.765392,1508028.31,773
2025-01-28,Greed,17979.613973,579412.17,498
2025-01-29,Greed,23421.01147,1897513.41,910
2025-01-30,Greed,23097.471385,3014397.17,1067
2025-01-31,Extreme Greed,35868.296773,2783411.48,1016
2025-02-01,Greed,32300.205017,1363746.44,634
2025-02-02,Greed,162854.759623,5661092.29,1319
2025-02-03,Fear,348871.326269,22592901.37,2380
2025-02-04,Greed,416876.88812,15678409.27,2512
2025-02-05,Neutral,56706.235562,8743231.51,1297
2025-02-06,Neutral,33803.799733,2818508.87,1703
2025-02-07,Fear,22450.002091,3460263.54,1524
2025-02-08,Fear,586.703253,839734.97,575
2025-02-09,Neutral,150551.829492,2920919.7,764
2025-02-10,Fear,63908.49465,3624958.44,889
2025-02-11,Neutral,-6093.784817,2797544.17,848
2025-02-12,Neutral,19848.635032,4143974.54,1031
2025-02-13,Neutral,27829.534238,3199852.21,1370
2025-02-14,Neutral,213860.675308,4007103.42,1655
2025-02-15,Neutral,45042.92701,1712852.95,932
2025-02-16,Neutral,2369.478425,806177.64,681
2025-02-17,Neutral,1818.573295,2031044.64,941
2025-02-18,Neutral,91204.672403,3371128.68,1676
2025-02-19,Fear,14985.794701,3263930.24,1361
2025-02-20,Neutral,46008.794102,4628609.29,2012
2025-02-21,Greed,119693.49395,3972159.88,1873
2025-02-22,Neutral,25278.704178,3175570.2,686
2025-02-23,Neutral,10656.934251,1141310.74,520
2025-02-24,Neutral,38470.176242,11223619.59,5616
2025-02-25,Fear,204762.177034,19414984.36,6246
2025-02-26,Extreme Fear,63229.063129,4946958.13,1176
2025-02-27,Extreme Fear,-36525.167517,1999898.43,890
2025-02-28,Extreme Fear,225628.108748,4123660.77,1019
2025-03-01,Extreme Fear,10596.108968,263824.13,174
2025-03-02,Fear,66914.320708,6460848.74,532
2025-03-03,Fear,616413.032233,8244590.38,1482
2025-03-04,Extreme Fear,182075.566585,11124247.15,2402
2025-03-05,Extreme Fear,269328.365917,9193654.22,1660
2025-03-06,Fear,16101.125561,6765324.96,760
2025-03-07,Fear,150236.061627,19854275.48,2552
2025-03-08,Fear,24700.773359,892083.51,529
2025-03-09,Fear,19773.457395,10419697.99,1422
2025-03-10,Extreme Fear,-10010.027269999999,16811790.68,2911
2025-03-11,Extreme Fear,-76880.729036,14016952.09,3286
2025-03-12,Fear,288105.984215,18618139.15,3968
2025-03-13,Neutral,14114.870873,3285591.22,962
2025-03-14,Fear,68646.160089,8047187.16,2210
2025-03-15,Neutral,78694.624572,2355749.54,261
2025-03-16,Fear,-7910.943544999999,10187921.51,530
2025-03-17,Fear,26163.906513,3592895.05,920
2025-03-18,Fear,72322.788824,4050655.47,834
2025-03-19,Fear,29374.682341,4598813.57,1612
2025-03-20,Neutral,10246.859436,1652257.93,771
2025-03-21,Fear,6951.270374,2543903.39,698
2025-03-22,Fear,12498.535254,971809.42,535
2025-03-23,Fear,14047.421585,2593519.67,447
2025-03-24,Neutral,107878.961301,3017587.05,1027
2025-03-25,Neutral,32030.90678,5372519.77,791
2025-03-26,Neutral,15802.167427,7597754.37,3102
2025-03-27,Fear,58825.359221,3240279.46,785
2025-03-28,Fear,21337.179335,1483092.61,728
2025-03-29,Fear,12098.872931,3668151.83,1894
2025-03-30,Fear,15795.11514,2850874.96,568
